variant,entry_len_days,exit_len_days,CAGR,MaxDD,Time_in_pos,CAGR_in_pos,Trades,Equity_final
gated_any_BM,80,110,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,80,100,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,80,90,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,80,120,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,80,150,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,80,130,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,80,140,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,110,150,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,110,140,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,90,100,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,90,110,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,90,120,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,90,90,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,90,130,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,90,140,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,90,150,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,100,140,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,110,90,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,110,100,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,110,110,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,100,150,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,110,120,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,110,130,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,100,120,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,100,90,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,100,100,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,100,110,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,100,130,0.088391293554964,-0.25383833129062305,0.5222870039495956,0.17655486160655798,12,5.972216612800506
gated_any_BM,130,110,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,120,100,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,120,110,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,120,90,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,130,120,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,120,120,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,120,130,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,120,140,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,120,150,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,130,130,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,130,150,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,130,140,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,130,90,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,130,100,0.08710272327870583,-0.25383833129062305,0.5183374083129584,0.1753237712647242,12,5.824793449015339
gated_any_BM,50,100,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,50,110,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,50,120,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,50,150,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,50,140,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,50,130,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,70,100,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,60,100,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,60,140,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,50,90,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,60,90,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,70,130,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,70,120,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,70,90,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,60,150,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,70,140,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,70,110,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,60,110,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,60,120,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,60,130,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,70,150,0.08672019680232679,-0.26398633148734096,0.530374271205567,0.17033007266217925,14,5.781700865899683
gated_any_BM,160,120,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,160,110,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,160,90,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,160,100,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,160,150,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,170,90,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,180,90,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,170,120,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,170,100,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,170,110,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,170,130,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,170,140,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,170,150,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,150,150,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,180,150,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,180,140,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,180,130,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
gated_any_BM,180,120,0.08669053917889147,-0.24227882169345716,0.5070528493511378,0.17867594041622792,12,5.778372575292789
