Date,SPY,INTL,IEF
2008-02-21,96.5174560546875,41.221031188964844,58.04168701171875
2008-02-22,97.11173248291016,41.7451171875,57.87893295288086
2008-02-25,98.33623504638672,42.40891647338867,57.49491500854492
2008-02-26,99.07379913330078,43.03780746459961,57.63811111450195
2008-02-27,98.97351837158203,43.17757034301758,57.7747917175293
2008-02-28,98.0068359375,42.764137268066406,58.45174026489258
2008-02-29,95.8228759765625,41.69269943237305,59.076560974121094
2008-03-03,95.59371948242188,41.81497573852539,58.92644119262695
2008-03-04,95.22852325439453,41.18028259277344,58.70444107055664
2008-03-05,95.83003234863281,41.67522430419922,58.44985580444336
2008-03-06,93.84652709960938,41.08128356933594,58.919944763183594
2008-03-07,92.87982940673828,40.59798049926758,59.122379302978516
2008-03-10,91.65542602539062,40.3941764831543,59.54672622680664
2008-03-11,94.94927978515625,41.669410705566406,58.900352478027344
2008-03-12,94.06138610839844,41.669410705566406,59.57939910888672
2008-03-13,94.26901245117188,41.73929214477539,59.265995025634766
2008-03-14,92.80824279785156,40.731910705566406,59.8797607421875
2008-03-17,91.87023162841797,40.114662170410156,60.180030822753906
2008-03-18,95.68681335449219,41.34331512451172,59.76872634887695
2008-03-19,93.31666564941406,39.8468017578125,60.28453826904297
2008-03-20,95.04515838623047,40.44658279418945,60.415157318115234
2008-03-24,96.94490814208984,41.18609619140625,59.350868225097656
2008-03-25,97.03844451904297,41.78587341308594,59.559810638427734
2008-03-26,95.85108947753906,41.78587341308594,59.60546875
2008-03-27,95.54885864257812,41.75093460083008,59.527122497558594
2008-03-28,94.6349868774414,41.71599197387695,59.76218795776367
2008-03-31,94.96599578857422,41.86738967895508,59.866703033447266
2008-04-01,98.30492401123047,32.71284484863281,59.34320068359375
2008-04-02,98.3697280883789,33.031314849853516,59.14667510986328
2008-04-03,98.61441040039062,33.32429885864258,59.14667510986328
2008-04-04,98.50643920898438,33.40709686279297,59.59872055053711
2008-04-07,98.55680847167969,33.57270812988281,59.205650329589844
2008-04-08,98.4560546875,33.41346740722656,59.21214294433594
2008-04-09,97.74365997314453,33.2988166809082,59.56599807739258
2008-04-10,97.88040924072266,33.10774230957031,59.33013153076172
2008-04-11,95.98062896728516,32.789283752441406,59.58561706542969
2008-04-14,95.65678405761719,32.572715759277344,59.4349479675293
