Date,SCHB,XLG,SCHV,QQQ,RSP,INTL,IEF,SPY
2001-01-02,,42.491031646728516,33.63447952270508,45.134639739990234,81.99765014648438,,,81.99765014648438
2001-01-03,,45.0468864440918,34.2578239440918,52.73625946044922,85.9364242553711,,,85.9364242553711
2001-01-04,,44.707435607910156,33.7769660949707,51.78605651855469,85.01141357421875,,,85.01141357421875
2001-01-05,,43.55931091308594,33.28717803955078,47.82687759399414,82.23638916015625,,,82.23638916015625
2001-01-08,,43.55931091308594,33.33171081542969,48.35475540161133,82.87295532226562,,,82.87295532226562
2001-01-09,,43.55931091308594,33.36732482910156,48.35475540161133,82.65409851074219,,,82.65409851074219
2001-01-10,,43.689090728759766,33.563232421875,50.835838317871094,84.10625457763672,,,84.10625457763672
2001-01-11,,44.42789077758789,33.43856430053711,52.31394958496094,84.18584442138672,,,84.18584442138672
2001-01-12,,44.04850769042969,33.37621307373047,52.98701477050781,84.02667236328125,,,84.02667236328125
2001-01-16,,44.00856018066406,33.60775375366211,52.353553771972656,84.56380462646484,,,84.56380462646484
2001-01-17,,44.36796951293945,33.51871109008789,53.950416564941406,84.95171356201172,,,84.95171356201172
2001-01-18,,44.63754653930664,33.54541778564453,56.2203369140625,85.79713439941406,,,85.79713439941406
2001-01-19,,45.12675857543945,33.207027435302734,56.00917434692383,85.30977630615234,,,85.30977630615234
2001-01-22,,45.086788177490234,33.269378662109375,56.061954498291016,85.876708984375,,,85.876708984375
2001-01-23,,45.52610397338867,33.563232421875,57.23652648925781,86.55303192138672,,,86.55303192138672
2001-01-24,,45.6059684753418,33.61667251586914,56.695438385009766,86.81169128417969,,,86.81169128417969
2001-01-25,,45.546077728271484,33.919437408447266,54.47829055786133,86.59284973144531,,,86.59284973144531
2001-01-26,,45.306461334228516,33.68790054321289,55.36251449584961,86.49340057373047,,,86.49340057373047
2001-01-29,,45.58603286743164,33.97322463989258,56.589866638183594,86.95491790771484,,,86.95491790771484
2001-01-30,,46.00532531738281,34.32658386230469,56.37868881225586,87.71883392333984,,,87.71883392333984
2001-01-31,,45.70584487915039,34.223995208740234,54.30936813354492,87.22228240966797,,,87.22228240966797
2001-02-01,,46.00532531738281,34.434871673583984,55.02730178833008,87.80156707763672,,,87.80156707763672
2001-02-02,,45.76572036743164,34.20690155029297,51.986656188964844,85.80912017822266,,,85.80912017822266
2001-02-05,,45.76572036743164,34.50894546508789,51.944419860839844,86.43927764892578,,,86.43927764892578
2001-02-06,,45.556068420410156,34.29808044433594,52.028892517089844,86.1846923828125,,,86.1846923828125
2001-02-07,,44.64754867553711,34.34367752075195,51.18427276611328,85.73908233642578,,,85.73908233642578
2001-02-08,,44.59760284423828,34.34367752075195,49.6555061340332,84.73967742919922,,,84.73967742919922
2001-02-09,,43.57926559448242,34.21257781982422,47.6368293762207,83.92484283447266,,,83.92484283447266
2001-02-12,,44.04850769042969,34.57162094116211,48.21120071411133,84.8860855102539,,,84.8860855102539
2001-02-13,,43.888755798339844,34.480445861816406,46.66553497314453,84.19223022460938,,,84.19223022460938
2001-02-14,,43.70907211303711,34.121421813964844,48.523685455322266,84.06487274169922,,,84.06487274169922
2001-02-15,,43.87876510620117,34.195491790771484,49.326087951660156,84.87970733642578,,,84.87970733642578
2001-02-16,,43.29972457885742,34.16130447387695,46.564151763916016,83.00818634033203,,,83.00818634033203
2001-02-20,,42.481048583984375,33.76806640625,44.75666427612305,81.72871398925781,,,81.72871398925781
2001-02-21,,41.56254196166992,33.16963195800781,43.49816131591797,79.9654312133789,,,79.9654312133789
2001-02-22,,41.17319869995117,33.19241714477539,43.075862884521484,80.08633422851562,,,80.08633422851562
2001-02-23,,41.13324737548828,33.04424285888672,43.22789001464844,79.54527282714844,,,79.54527282714844
2001-02-26,,41.69232940673828,33.545799255371094,44.047183990478516,81.23851776123047,,,81.23851776123047
2001-02-27,,42.15157699584961,33.60276794433594,41.3866081237793,80.48739624023438,,,80.48739624023438
2001-02-28,,40.833702087402344,33.300716400146484,40.07744598388672,78.90235137939453,,,78.90235137939453
2001-03-01,,40.89362716674805,33.05564880371094,41.217689514160156,79.31612396240234,,,79.31612396240234
2001-03-02,,40.89362716674805,33.329193115234375,39.44398498535156,78.68592071533203,,,78.68592071533203
2001-03-05,,40.7738151550293,33.505897521972656,40.161903381347656,79.40524291992188,,,79.40524291992188
2001-03-06,,41.51261520385742,33.597076416015625,41.72446823120117,80.25823974609375,,,80.25823974609375
2001-03-07,,41.55256652832031,33.830745697021484,41.7413444519043,80.8311538696289,,,80.8311538696289
2001-03-08,,41.722286224365234,34.15559387207031,40.96430206298828,80.92022705078125,,,80.92022705078125
2001-03-09,,40.614078521728516,33.75890350341797,38.09258270263672,78.52677917480469,,,78.52677917480469
2001-03-12,,38.4666748046875,32.52994918823242,35.72763442993164,75.16572570800781,,,75.16572570800781
2001-03-13,,38.64678192138672,32.65571975708008,37.5435676574707,76.400634765625,,,76.400634765625
2001-03-14,,38.076385498046875,31.821168899536133,36.952327728271484,74.89197540283203,,,74.89197540283203
2001-03-15,,38.5567512512207,32.18699264526367,35.60093688964844,74.9111099243164,,,74.9111099243164
2001-03-16,,37.70612335205078,31.69542121887207,34.79854202270508,73.4085464477539,,,73.4085464477539
2001-03-19,,38.346588134765625,32.118404388427734,36.53845977783203,74.9021224975586,,,74.9021224975586
2001-03-20,,37.335880279541016,31.569664001464844,34.080604553222656,72.89159393310547,,,72.89159393310547
2001-03-21,,36.585365295410156,30.780860900878906,34.080604553222656,71.65328979492188,,,71.65328979492188
2001-03-22,,36.425270080566406,30.35786247253418,36.14994430541992,70.92568969726562,,,70.92568969726562
2001-03-23,,37.10573196411133,30.780860900878906,36.14994430541992,73.0702896118164,,,73.0702896118164
2001-03-26,,37.646095275878906,31.449621200561523,35.31376647949219,74.00215911865234,,,74.00215911865234
2001-03-27,,38.616783142089844,32.07840347290039,36.53003692626953,75.514892578125,,,75.514892578125
2001-03-28,,37.566036224365234,31.621109008789062,33.5316047668457,73.42774963378906,,,73.42774963378906
2001-03-29,,37.415950775146484,31.735441207885742,32.898136138916016,73.70855712890625,,,73.70855712890625
2001-03-30,,37.636104583740234,32.06696701049805,33.067054748535156,74.48088073730469,,,74.48088073730469
